date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:40:56	20335/20335	---MCZ	200	added ('OK')	application/octet-stream	etag:%22f848633f9b73b66f1c71760fb5219dd0-ssl-df%22	http://daniels.bitballoon.com/fonts/glyphicons-halflings-regular.eot	C:/My%20Web%20Sites/portfolio/daniels.bitballoon.com/fonts/glyphicons-halflings-regular.eot	(from http://daniels.bitballoon.com/css/bootstrap.min.css)
01:40:57	20335/20335	---M-Z	200	added ('OK')	application/octet-stream	etag:%22f848633f9b73b66f1c71760fb5219dd0-ssl-df%22	http://daniels.bitballoon.com/fonts/glyphicons-halflings-regular.eot?	C:/My%20Web%20Sites/portfolio/daniels.bitballoon.com/fonts/glyphicons-halflings-regulard41d.eot	(from http://daniels.bitballoon.com/css/bootstrap.min.css)
01:40:58	105/105	---M-Z	404	error ('Not%20Found')	text/html	etag:1523607646-ssl-df	http://daniels.bitballoon.com/fonts/glyphicons-halflings-regular.svg	C:/My%20Web%20Sites/portfolio/daniels.bitballoon.com/fonts/glyphicons-halflings-regular.svg	(from http://daniels.bitballoon.com/css/bootstrap.min.css)
01:40:58	23320/23320	---MCZ	200	added ('OK')	application/font-woff	etag:%222798caf9d3eeb0f77dcf9b569ff3cfa0-ssl-df%22	http://daniels.bitballoon.com/fonts/glyphicons-halflings-regular.woff	C:/My%20Web%20Sites/portfolio/daniels.bitballoon.com/fonts/glyphicons-halflings-regular.woff	(from http://daniels.bitballoon.com/css/bootstrap.min.css)
01:40:58	105/105	---M-Z	404	error ('Not%20Found')	text/html	etag:1523607646-ssl-df	http://daniels.bitballoon.com/css/owl.video.play.png	C:/My%20Web%20Sites/portfolio/daniels.bitballoon.com/css/owl.video.play.png	(from http://daniels.bitballoon.com/css/owl.carousel.min.css)
01:41:00	41280/41280	---MCZ	200	added ('OK')	application/x-font-ttf	etag:%2276ff2ead6d9c94f7c80bab523edb13ed-ssl-df%22	http://daniels.bitballoon.com/fonts/glyphicons-halflings-regular.ttf	C:/My%20Web%20Sites/portfolio/daniels.bitballoon.com/fonts/glyphicons-halflings-regular.ttf	(from http://daniels.bitballoon.com/css/bootstrap.min.css)
01:41:11	77160/77160	---M--	200	added ('OK')	font/woff2	etag:%223c437c341174d75b3bf5d2d5a134da0d-ssl%22	http://daniels.bitballoon.com/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/My%20Web%20Sites/portfolio/daniels.bitballoon.com/fonts/fontawesome-webfont3e6e.woff2	(from http://daniels.bitballoon.com/css/font-awesome.min.css)
01:41:17	165742/165742	---MCZ	200	added ('OK')	application/octet-stream	etag:%223277c11e6461ed25cef5e4941ad29245-ssl-df%22	http://daniels.bitballoon.com/fonts/fontawesome-webfont.eot?v=4.7.0	C:/My%20Web%20Sites/portfolio/daniels.bitballoon.com/fonts/fontawesome-webfont3e6e.eot	(from http://daniels.bitballoon.com/css/font-awesome.min.css)
01:41:17	165742/165742	---MCZ	200	added ('OK')	application/octet-stream	etag:%223277c11e6461ed25cef5e4941ad29245-ssl-df%22	http://daniels.bitballoon.com/fonts/fontawesome-webfont.eot?	C:/My%20Web%20Sites/portfolio/daniels.bitballoon.com/fonts/fontawesome-webfontd41d.eot	(from http://daniels.bitballoon.com/css/font-awesome.min.css)
01:41:18	105/105	---M-Z	404	error ('Not%20Found')	text/html	etag:1523607646-ssl-df	http://daniels.bitballoon.com/fonts/fontawesome-webfont.svg?v=4.7.0	C:/My%20Web%20Sites/portfolio/daniels.bitballoon.com/fonts/fontawesome-webfont.323e6e.delayed	(from http://daniels.bitballoon.com/css/font-awesome.min.css)
01:41:20	812072/812072	---M--	200	added ('OK')	image/jpeg	etag:%22960ec05ac5417a83491c53488f9ec291-ssl%22	http://daniels.bitballoon.com/img/bg.jpg	C:/My%20Web%20Sites/portfolio/daniels.bitballoon.com/img/bg.jpg	(from http://daniels.bitballoon.com/particles.html)
01:41:21	32694/32694	---MCZ	200	added ('OK')	application/octet-stream	etag:%22fc4aec5378f493220eface51609bf150-ssl-df%22	http://daniels.bitballoon.com/fonts/et-line.eot	C:/My%20Web%20Sites/portfolio/daniels.bitballoon.com/fonts/et-line.eot	(from http://daniels.bitballoon.com/css/et-line.css)
01:41:23	32694/32694	---M-Z	200	added ('OK')	application/octet-stream	etag:%22fc4aec5378f493220eface51609bf150-ssl-df%22	http://daniels.bitballoon.com/fonts/et-line.eot?	C:/My%20Web%20Sites/portfolio/daniels.bitballoon.com/fonts/et-lined41d.eot	(from http://daniels.bitballoon.com/css/et-line.css)
01:41:28	32536/32536	---MCZ	200	added ('OK')	application/x-font-ttf	etag:%22c11682191c9dab7988118e015cc64761-ssl-df%22	http://daniels.bitballoon.com/fonts/et-line.ttf	C:/My%20Web%20Sites/portfolio/daniels.bitballoon.com/fonts/et-line.ttf	(from http://daniels.bitballoon.com/css/et-line.css)
01:41:28	55220/55220	---MCZ	200	added ('OK')	application/font-woff	etag:%22a76ca7556bcbd084b6dcbf0b428a01c9-ssl-df%22	http://daniels.bitballoon.com/fonts/et-line.woff	C:/My%20Web%20Sites/portfolio/daniels.bitballoon.com/fonts/et-line.woff	(from http://daniels.bitballoon.com/css/et-line.css)
01:41:28	105/105	---M-Z	404	error ('Not%20Found')	text/html	etag:1523607646-ssl-df	http://daniels.bitballoon.com/fonts/et-line.svg	C:/My%20Web%20Sites/portfolio/daniels.bitballoon.com/fonts/et-line.svg	(from http://daniels.bitballoon.com/css/et-line.css)
01:41:29	8854/8854	---M-Z	200	added ('OK')	text/css	etag:%224cb07b302b699e88b9ceb49c2efb5ac0-ssl-df%22	http://daniels.bitballoon.com/css/main.css	C:/My%20Web%20Sites/portfolio/daniels.bitballoon.com/css/main.css	(from http://daniels.bitballoon.com/css/style.css)
01:41:29	949/949	---M--	200	added ('OK')	image/png	etag:%22d7b9fa41286128fa23e85f80c598c91c-ssl%22	http://daniels.bitballoon.com/img/dots.png	C:/My%20Web%20Sites/portfolio/daniels.bitballoon.com/img/dots.png	(from http://daniels.bitballoon.com/css/style.css)
01:41:29	165548/165548	---MCZ	200	added ('OK')	application/x-font-ttf	etag:%2270ff12bbc965c9bb40dc96081062bebe-ssl-df%22	http://daniels.bitballoon.com/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/My%20Web%20Sites/portfolio/daniels.bitballoon.com/fonts/fontawesome-webfont3e6e.ttf	(from http://daniels.bitballoon.com/css/font-awesome.min.css)
01:42:09	98024/98024	---M-Z	200	added ('OK')	application/font-woff	etag:%22ba421a370eabbc3d43585a770be1e18b-ssl-df%22	http://daniels.bitballoon.com/fonts/fontawesome-webfont.woff?v=4.7.0	C:/My%20Web%20Sites/portfolio/daniels.bitballoon.com/fonts/fontawesome-webfont3e6e.woff	(from http://daniels.bitballoon.com/css/font-awesome.min.css)
